QueryID    Q0         DocID      Rank       Score      RunID      
103        0          235588     4          2.716603   Lab-0      
103        0          229856     5          2.7033522  Lab-0      
103        0          2172       6          2.6704948  Lab-0      
103        0          162956     7          2.657882   Lab-0      
103        0          30410      8          2.5299637  Lab-0      
103        0          57415      10         2.4316585  Lab-0      
103        0          112        9          2.4300659  Lab-0      
114        0          21688      1          2.525065   Lab-0      
114        0          229856     2          2.2869194  Lab-0      
114        0          143620     3          2.0349991  Lab-0      
114        0          32379      4          1.9741942  Lab-0      
114        0          112584     5          1.9514793  Lab-0      
114        0          133694     6          1.8985695  Lab-0      
114        0          11552      7          1.8774589  Lab-0      
114        0          127175     8          1.8674248  Lab-0      
114        0          138370     9          1.8064196  Lab-0      
114        0          123657     10         1.7884278  Lab-0      
118        0          230495     1          4.5834646  Lab-0      
118        0          107828     2          4.198214   Lab-0      
118        0          136700     3          3.5426865  Lab-0      
118        0          131273     4          3.251863   Lab-0      
118        0          152738     5          3.1784647  Lab-0      
118        0          82015      6          3.1299949  Lab-0      
118        0          85390      7          2.9494224  Lab-0      
118        0          166726     8          2.9457211  Lab-0      
118        0          103446     9          2.9412038  Lab-0      
118        0          64276      10         2.938592   Lab-0      
125        0          17544      1          4.3052897  Lab-0      
125        0          32961      2          3.455822   Lab-0      
125        0          119815     3          3.3057432  Lab-0      
125        0          210        4          3.0937312  Lab-0      
125        0          28896      5          3.00047    Lab-0      
125        0          29630      7          2.9788043  Lab-0      
125        0          176735     6          2.9694018  Lab-0      
125        0          71963      8          2.802741   Lab-0      
125        0          215864     9          2.772379   Lab-0      
125        0          154805     10         2.719548   Lab-0      
138        0          233871     1          3.8241303  Lab-0      
138        0          16864      2          3.7394006  Lab-0      
138        0          8613       3          3.7372258  Lab-0      
138        0          83566      4          3.4722342  Lab-0      
138        0          112949     5          3.201316   Lab-0      
138        0          2172       6          3.071046   Lab-0      
138        0          239017     7          2.8223798  Lab-0      
138        0          17544      8          2.8159826  Lab-0      
138        0          91254      9          2.8007004  Lab-0      
138        0          158323     10         2.60196    Lab-0      
170        0          174        1          3.2148395  Lab-0      
170        0          8613       2          3.1095204  Lab-0      
170        0          233871     3          2.936368   Lab-0      
170        0          130932     4          2.9280422  Lab-0      
170        0          8383       5          2.7784452  Lab-0      
170        0          158323     6          2.7120705  Lab-0      
170        0          41909      7          2.6564472  Lab-0      
170        0          113563     8          2.5197089  Lab-0      
170        0          131011     9          2.4726007  Lab-0      
170        0          230837     10         2.4051466  Lab-0      
213        0          37877      1          3.2719314  Lab-0      
213        0          145194     2          3.1640582  Lab-0      
213        0          90766      3          2.9351528  Lab-0      
213        0          46602      4          2.7829208  Lab-0      
213        0          32537      5          2.778561   Lab-0      
213        0          38659      6          2.7605085  Lab-0      
213        0          50780      7          2.6922762  Lab-0      
213        0          12509      8          2.6273656  Lab-0      
213        0          30004      9          2.586358   Lab-0      
213        0          104371     10         2.5580592  Lab-0      
363        0          52031      1          4.051114   Lab-0      
363        0          216291     2          3.9065628  Lab-0      
363        0          141893     3          3.251598   Lab-0      
363        0          22825      4          3.1780052  Lab-0      
363        0          183889     5          3.0811186  Lab-0      
363        0          15037      6          3.045734   Lab-0      
363        0          129583     7          3.0079546  Lab-0      
363        0          76384      8          2.7949848  Lab-0      
363        0          46831      9          2.7477226  Lab-0      
363        0          30548      10         2.744383   Lab-0      
373        0          213712     1          7.0348487  Lab-0      
373        0          24250      2          6.9628315  Lab-0      
373        0          40374      3          6.07886    Lab-0      
373        0          34947      4          5.8915343  Lab-0      
373        0          178096     5          5.562009   Lab-0      
373        0          17341      6          5.166257   Lab-0      
373        0          30848      7          5.1203384  Lab-0      
373        0          157        8          5.090521   Lab-0      
373        0          10476      9          5.0774264  Lab-0      
373        0          23674      10         5.0497108  Lab-0      
396        0          155617     1          2.5987816  Lab-0      
396        0          19113      2          2.488067   Lab-0      
396        0          123389     4          2.4364917  Lab-0      
396        0          14508      3          2.4281843  Lab-0      
396        0          91865      5          2.2323635  Lab-0      
396        0          23413      6          2.2042375  Lab-0      
396        0          144560     7          2.1998458  Lab-0      
396        0          9108       8          2.139172   Lab-0      
396        0          158313     9          2.1311321  Lab-0      
396        0          60518      10         2.1101468  Lab-0      
421        0          195094     1          3.8740988  Lab-0      
421        0          25636      2          3.8506129  Lab-0      
421        0          123657     3          3.4811192  Lab-0      
421        0          115427     4          3.2875414  Lab-0      
421        0          27799      5          3.2397816  Lab-0      
421        0          27693      6          3.193905   Lab-0      
421        0          195042     7          3.1432447  Lab-0      
421        0          5600       8          3.108156   Lab-0      
421        0          127571     9          3.0425534  Lab-0      
421        0          195233     10         2.9821837  Lab-0      
423        0          164802     1          3.8876138  Lab-0      
423        0          109112     2          3.862687   Lab-0      
423        0          31802      3          3.7782834  Lab-0      
423        0          215370     4          3.0808089  Lab-0      
423        0          76338      5          2.9623406  Lab-0      
423        0          137970     6          2.8703806  Lab-0      
423        0          17419      7          2.8113697  Lab-0      
423        0          27801      8          2.764702   Lab-0      
423        0          84309      9          2.7586474  Lab-0      
423        0          43226      10         2.692625   Lab-0      
485        0          8613       1          3.9652705  Lab-0      
485        0          29001      2          3.6825275  Lab-0      
485        0          77034      3          3.6824849  Lab-0      
485        0          1769       4          3.4192562  Lab-0      
485        0          686        5          3.2033978  Lab-0      
485        0          31802      6          3.0673833  Lab-0      
485        0          27956      7          3.0210485  Lab-0      
485        0          46250      8          2.8376968  Lab-0      
485        0          1763       9          2.8263435  Lab-0      
485        0          1279       10         2.7814667  Lab-0      
534        0          222411     1          3.977459   Lab-0      
534        0          13311      2          3.7264762  Lab-0      
534        0          10696      3          3.5199528  Lab-0      
534        0          561        4          3.4699976  Lab-0      
534        0          141306     5          3.2691262  Lab-0      
534        0          14070      6          3.2683818  Lab-0      
534        0          169333     7          3.163503   Lab-0      
534        0          26370      8          3.1590502  Lab-0      
534        0          26302      9          3.1236565  Lab-0      
534        0          1652       10         3.0930367  Lab-0      
652        0          62320      2          3.2614706  Lab-0      
652        0          61525      1          3.2489362  Lab-0      
652        0          144970     3          3.1169872  Lab-0      
652        0          205271     4          3.070906   Lab-0      
652        0          17544      5          2.9594893  Lab-0      
652        0          205790     6          2.84359    Lab-0      
652        0          25876      7          2.803486   Lab-0      
652        0          83429      8          2.7261183  Lab-0      
652        0          129508     9          2.7144313  Lab-0      
652        0          46572      10         2.67487    Lab-0      
665        0          91030      1          1.5865157  Lab-0      
665        0          190370     2          1.422547   Lab-0      
665        0          59585      3          1.3240113  Lab-0      
665        0          60259      4          1.2813824  Lab-0      
665        0          237772     5          1.265283   Lab-0      
665        0          166327     6          1.2524573  Lab-0      
665        0          204867     7          1.2517081  Lab-0      
665        0          97248      8          1.2516111  Lab-0      
665        0          74869      9          1.2411244  Lab-0      
665        0          47677      10         1.2218709  Lab-0      
726        0          27233      1          3.7096603  Lab-0      
726        0          14614      2          3.641372   Lab-0      
726        0          157592     3          3.525476   Lab-0      
726        0          131143     4          2.8693047  Lab-0      
726        0          17148      5          2.6726358  Lab-0      
726        0          182973     6          2.6209998  Lab-0      
726        0          6654       7          2.453754   Lab-0      
726        0          237311     8          2.4398162  Lab-0      
726        0          171317     9          2.3727098  Lab-0      
726        0          223461     10         2.3514059  Lab-0      
1142       0          152665     1          4.252066   Lab-0      
1142       0          12584      2          3.8803363  Lab-0      
1142       0          33570      3          3.7688222  Lab-0      
1142       0          166577     4          3.2906663  Lab-0      
1142       0          24814      5          3.1813629  Lab-0      
1142       0          104946     6          3.1201773  Lab-0      
1142       0          134745     7          3.0341837  Lab-0      
1142       0          139705     8          3.0055559  Lab-0      
1142       0          11747      9          2.8368478  Lab-0      
1142       0          61305      10         2.7824903  Lab-0      
1164       0          1340       1          5.523104   Lab-0      
1164       0          78065      2          4.0001364  Lab-0      
1164       0          173319     3          3.4800797  Lab-0      
1164       0          76860      5          3.4168856  Lab-0      
1164       0          3622       4          3.4165301  Lab-0      
1164       0          82418      6          3.3449442  Lab-0      
1164       0          25876      8          3.3151674  Lab-0      
1164       0          32587      7          3.3151236  Lab-0      
1164       0          39219      9          3.130699   Lab-0      
1164       0          114363     10         3.0923162  Lab-0      
1194       0          198244     1          2.5464575  Lab-0      
1194       0          125016     2          2.345086   Lab-0      
1194       0          125593     3          2.3194776  Lab-0      
1194       0          5146       4          2.273142   Lab-0      
1194       0          171937     5          2.2448058  Lab-0      
1194       0          18974      8          2.2390637  Lab-0      
1194       0          19113      6          2.2365065  Lab-0      
1194       0          86356      7          2.2356112  Lab-0      
1194       0          175719     9          2.1103256  Lab-0      
1194       0          192087     10         2.080712   Lab-0      
1337       0          65480      1          3.6576061  Lab-0      
1337       0          32107      2          3.2823353  Lab-0      
1337       0          17548      3          3.2775898  Lab-0      
1337       0          86397      4          3.2596161  Lab-0      
1337       0          112733     5          3.2592485  Lab-0      
1337       0          229553     6          3.2378883  Lab-0      
1337       0          27956      7          1.5822028  Lab-0      
1337       0          31802      8          1.365151   Lab-0      
1337       0          219790     10         1.328058   Lab-0      
1337       0          164955     9          1.3207343  Lab-0      
1576       0          3374       2          7.0116715  Lab-0      
1576       0          849        1          7.0116715  Lab-0      
1576       0          236914     3          6.9084635  Lab-0      
1576       0          5365       4          6.375209   Lab-0      
1576       0          1577       5          6.3140965  Lab-0      
1576       0          4849       6          6.3096375  Lab-0      
1576       0          16335      7          6.0545225  Lab-0      
1576       0          133746     8          5.845227   Lab-0      
1576       0          63567      9          5.820431   Lab-0      
1576       0          3371       10         5.797937   Lab-0      
1595       0          3071       1          5.3425403  Lab-0      
1595       0          205740     2          5.2173977  Lab-0      
1595       0          16617      3          5.190912   Lab-0      
1595       0          25959      4          4.4824405  Lab-0      
1595       0          91254      5          4.36424    Lab-0      
1595       0          55726      6          4.3223877  Lab-0      
1595       0          239119     7          2.0096316  Lab-0      
1595       0          169045     8          2.007345   Lab-0      
1595       0          25984      9          1.9574136  Lab-0      
1595       0          238735     10         1.9511626  Lab-0      
1610       0          6211       1          6.612808   Lab-0      
1610       0          11230      2          6.4965982  Lab-0      
1610       0          53381      3          5.886742   Lab-0      
1610       0          1628       4          5.601818   Lab-0      
1610       0          9432       5          5.598799   Lab-0      
1610       0          211914     6          5.5629263  Lab-0      
1610       0          171376     7          5.408081   Lab-0      
1610       0          53041      8          5.1979203  Lab-0      
1610       0          148815     9          5.1722145  Lab-0      
1610       0          82182      10         5.1364846  Lab-0      

